Date,Mentions,Tweet,Sentiment
2024-09-19,@iamnagarjuna,"Did you know 
@iamnagarjuna
 is not just a Telugu superstar but also a savvy businessman? With a staggering net worth of ₹3310 crore, he’s not only making waves in cinema but also shining in the business world! 

Nagarjuna’s brand endorsements, including premium names like",0.09999999999999999
2024-09-19,@itsKajolD,"Did you know? 
@itsKajolD
 has been awarded the Padma Shri, India's 4th highest civilian honor for her contributions to Indian cinema! 

With a net worth of ₹240 crore and earning ₹10 crore per film, Kajol's star power is undeniable.

From her luxurious cars to her stunning",0.26666666666666666
2024-09-19,@apple,"Made-in-India iPhone 16 Pro Max: where to find the best prices worldwide!

Where do you place to purchase it from?
@apple
 iphone16 latestiphone iPhone16Series iPhone16ProMax Apple iphonelaunch iphoneonly iphonephotography ios iphone16pro stockmarket iphoneprice",1.0
2024-09-19,,"Nifty makes a comeback, crosses 24,900!

Sensex gains 376 points as FMCG & Bank stocks shine
Oil, gas, and metal sectors underperform
BajajHousing IPO now open, fully subscribed on Day 1

Can the market keep up the momentum? 

finance stockmarket trading investing",0.0
2024-09-19,@apple,"Made-in-India iPhone 16 Pro Max: where to find the best prices worldwide!

Where do you place to purchase it from?
@apple
 iphone16 latestiphone iPhone16Series iPhone16ProMax Apple iphonelaunch iphoneonly iphonephotography ios iphone16pro stockmarket iphoneprice",1.0
2024-09-19,,"Nifty makes a comeback, crosses 24,900!

Sensex gains 376 points as FMCG & Bank stocks shine
Oil, gas, and metal sectors underperform
BajajHousing IPO now open, fully subscribed on Day 1

Can the market keep up the momentum? 

finance stockmarket trading investing",0.0
2024-09-19,,"Happy Ganesh Chaturthi

Here are 3 picks you should keep an eye on! Watch the full video to know more

The tradeview is as of 6th Sept, 2024

The tradeview is provided by Ashish Kumar, a SEBI-registered analyst with over 12 years of experience (SEBI Registration No:",0.6166666666666667
2024-09-19,,"10 must-read books to level up your trading skills!

Whether you're just starting or have experience, these books offer great advice and strategies to help you succeed.

Learn from the best and improve your financial journey!

To know more about the books, read on -",0.45999999999999996
2024-09-19,,"StockMarketIndia falls, but BankNifty outperforms!

17 of Nifty 50 stocks in green; media & metals held gains
Realty struggled; Cipla, Coal India, Reliance ended in red
Wipro & LTIM gained, but pharma heavyweights suffered

Will tomorrow's US jobs data induce",-0.1
2024-09-19,,"Happy Ganesh Chaturthi

Here are 3 picks you should keep an eye on! Watch the full video to know more

The tradeview is as of 6th Sept, 2024

The tradeview is provided by Ashish Kumar, a SEBI-registered analyst with over 12 years of experience (SEBI Registration No:",0.6166666666666667
2024-09-19,,"10 must-read books to level up your trading skills!

Whether you're just starting or have experience, these books offer great advice and strategies to help you succeed.

Learn from the best and improve your financial journey!

To know more about the books, read on -",0.45999999999999996
2024-09-19,,"StockMarketIndia falls, but BankNifty outperforms!

17 of Nifty 50 stocks in green; media & metals held gains
Realty struggled; Cipla, Coal India, Reliance ended in red
Wipro & LTIM gained, but pharma heavyweights suffered

Will tomorrow's US jobs data induce",-0.1
2024-09-19,,"Happy Ganesh Chaturthi

Here are 3 picks you should keep an eye on! Watch the full video to know more

The tradeview is as of 6th Sept, 2024

The tradeview is provided by Ashish Kumar, a SEBI-registered analyst with over 12 years of experience (SEBI Registration No:",0.6166666666666667
2024-09-19,,"10 must-read books to level up your trading skills!

Whether you're just starting or have experience, these books offer great advice and strategies to help you succeed.

Learn from the best and improve your financial journey!

To know more about the books, read on -",0.45999999999999996
2024-09-19,,"StockMarketIndia falls, but BankNifty outperforms!

17 of Nifty 50 stocks in green; media & metals held gains
Realty struggled; Cipla, Coal India, Reliance ended in red
Wipro & LTIM gained, but pharma heavyweights suffered

Will tomorrow's US jobs data induce",-0.1
2024-09-19,,"Happy Ganesh Chaturthi

Here are 3 picks you should keep an eye on! Watch the full video to know more

The tradeview is as of 6th Sept, 2024

The tradeview is provided by Ashish Kumar, a SEBI-registered analyst with over 12 years of experience (SEBI Registration No:",0.6166666666666667
2024-09-19,,"10 must-read books to level up your trading skills!

Whether you're just starting or have experience, these books offer great advice and strategies to help you succeed.

Learn from the best and improve your financial journey!

To know more about the books, read on -",0.45999999999999996
2024-09-19,,"StockMarketIndia falls, but BankNifty outperforms!

17 of Nifty 50 stocks in green; media & metals held gains
Realty struggled; Cipla, Coal India, Reliance ended in red
Wipro & LTIM gained, but pharma heavyweights suffered

Will tomorrow's US jobs data induce",-0.1
2024-09-19,,"Happy Ganesh Chaturthi

Here are 3 picks you should keep an eye on! Watch the full video to know more

The tradeview is as of 6th Sept, 2024

The tradeview is provided by Ashish Kumar, a SEBI-registered analyst with over 12 years of experience (SEBI Registration No:",0.6166666666666667
2024-09-19,,"10 must-read books to level up your trading skills!

Whether you're just starting or have experience, these books offer great advice and strategies to help you succeed.

Learn from the best and improve your financial journey!

To know more about the books, read on -",0.45999999999999996
2024-09-19,,"StockMarketIndia falls, but BankNifty outperforms!

17 of Nifty 50 stocks in green; media & metals held gains
Realty struggled; Cipla, Coal India, Reliance ended in red
Wipro & LTIM gained, but pharma heavyweights suffered

Will tomorrow's US jobs data induce",-0.1
